sitemap: http://www.scmagazineuk.com/sitemapindex.xml
User-agent: *
Disallow: /register/
Disallow: /search/
Disallow: /archive/
Disallow: */email/
Disallow: */emailArticle/
Disallow: */emailarticle/
Disallow: */printarticle/
Disallow: */PrintArticle/
Disallow: */emailreview/
Disallow: */printreview/
Disallow: */emailGroupTest/
Disallow: */printGroupTest/
Disallow: */emailgrouptest/
Disallow: */printgrouptest/
Disallow: /newsletter/item/* 
Disallow: /AdZone/InitAjax
Disallow: /Drug/GetOmnitureParameters
Disallow: /Drug/GetRelatedDrugs
Disallow: /Drug/UpdateClipBoard
Disallow: /Drug/GetDrugsInSession
Disallow: /Drug/RemoveDrugsInSession
Disallow: /pages/emaildocument.aspx
Disallow: /accountmedical/
Disallow: */Web%20Support/
Disallow: */Web Support/
Disallow: */hminobot/
Disallow: /jobs/session-img/
Disallow: /jobs/invalid-request/
Disallow: /jobs/document/
Disallow: /jobs/apply-profile/
Disallow: /jobs/emailjob/
Disallow: /jobs/logon/
Disallow: /jobs/register/
Disallow: /jobs/searchjobs/
Disallow: /jobs/*/*/*/*/*/*/
Disallow: /5745/SCUK
Disallow: /article/articletrack/*
User-agent: MJ12bot
Disallow: /
