# robots.txt for http://www.kinderpostzegels.nl/

# Cross browser test
User-agent: Browsershots
Disallow:

# block defaults
Disallow: /App_Code/
Disallow: /App_Data/
Disallow: /App_Config/
Disallow: /bin/
Disallow: /demo/
Disallow: /fonts/
Disallow: /handlers/
Disallow: /pages/
Disallow: /scripts/
Disallow: /layouts/
Disallow: /style/
Disallow: /Packages/
Disallow: /Serialization/
Disallow: /sitecore/
Disallow: /siteore modules/
Disallow: /404/
Disallow: /NotFound/
Disallow: /500/
Disallow: /httpsRedirect.html
Disallow: /redirect/

xmlSitemap: sitemap.xml
