Sitemap: https://www.sferis.pl/sitemap.xml

User-agent: *
Disallow: /b/zakup/
Disallow: /b/jeden-klik/
Disallow: /b/zapytaj/
Disallow: /p/zakup/
Disallow: /p/jeden-klik/
Disallow: /p/zapytaj/
Disallow: /p/porownaj/
Disallow: /p/punkty-odbioru/
Disallow: /konto.html
Disallow: /konto/
Disallow: /koszyk.html
Disallow: /koszyk/
Disallow: /rejestracja.html
Disallow: /logowanie.html
Disallow: /chat/
Disallow: /paypal-kup-teraz/
Disallow: /seen.json


User-agent: SemrushBot
Disallow: /

User-agent: SemrushBot-SA
Disallow: /

User-agent: AhrefsBot
Disallow: /

User-agent: SEOkicks-Robot
Disallow: /

User-agent: MJ12bot
Disallow: /

User-agent: Vagabondo
Disallow: /

User-agent: BaiDuSpider
Disallow: /

User-agent: Exabot
Disallow: /

User-agent: Yandex
Disallow: /

User-agent: BSpider
Disallow: /

User-agent: Slurp
Disallow: /

User-agent: ia_archiver
Disallow: /

User-agent: SentiBot
Disallow: /

User-agent: dotbot
Disallow: /
