Sitemap: http://www.afa.net/sitemap

# robots.txt for Twitterbot
User-agent: Twitterbot
Disallow: /bin/
Disallow: /config/
Disallow: /css/
Disallow: /data/
Disallow: /macroScripts/
Disallow: /scripts/
Disallow: /umbraco/
Disallow: /umbraco_client/
Disallow: /usercontrols/
Disallow: /xslt/

# robots.txt for Umbraco
User-agent: *
Disallow: /bin/
Disallow: /config/
Disallow: /css/
Disallow: /data/
Disallow: /macroScripts/
Disallow: /scripts/
Disallow: /umbraco/
Disallow: /umbraco_client/
Disallow: /usercontrols/
Disallow: /xslt/
