# Generiert von combine_robots.sh, nicht per Hand bearbeiten!

# Google-Sitemap
# Generiert von google_sitemap/cron.php, nicht per Hand bearbeiten!
Sitemap: http://www.autrado.de/sitemap.xml.gz

# local
User-agent: *
Allow: /
Disallow: /admin/
Disallow: /google_sitemap/
Disallow: /archiv/
Disallow: /export/
Disallow: /import/
Disallow: /baureihen_laden/
Disallow: /locale/
Disallow: /pdflatex/
Disallow: /services/pdf/
Disallow: /tests/
Disallow: /weblogs/
Disallow: /autradogalerie/
Disallow: /bilder/
Disallow: /greybox/
Disallow: /rueckruf.php
Disallow: /infodownload/
# global

User-agent: *
Crawl-delay: 10
