Sitemap: http://www.privacyassociation.org/sitemap.xml

# Google Image
User-agent: Googlebot-Image
Disallow: /media/headshots/003a000001vIIl0AAG.png
Allow: /*

# Google AdSense
User-agent: Mediapartners-Google
Disallow:

# digg mirror
User-agent: duggmirror
Disallow: /

# global
User-agent: *
Disallow: /c/onetrust-certification/
Disallow: /cgi-bin/
Disallow: /wp-admin/
Disallow: /wp-includes/
Disallow: /wp-content/plugins/
Disallow: /wp-content/cache/
Disallow: /wp-content/themes/
Disallow: /trackback/
Disallow: /feed/
Disallow: /comments/
Disallow: /category/*/*
Disallow: */trackback/
Disallow: */feed/
Disallow: */comments/
Disallow: /*?
Disallow: /l/*
Disallow: /about/person/003a000001vIIl0AAG
Allow: /wp-content/uploads/
