Sitemap: http://www.waltermeier.com/sitemap_index.xml

User-Agent: *
Allow: /
Disallow: /t3lib/
Disallow: /typo3/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /fileadmin/templates/
Disallow: /fileadmin/styles/
Disallow: /uploads/
Disallow: /*?type=9818                        # Disable non-realurl for media, jobs, events, publicationen
Disallow: /de/walter-meier-in-der-schweiz/search-results/

# Disable semrush bot working on #35484

User-agent: SemrushBot
Disallow: /

User-agent: SemrushBot-SA
Disallow: /

