# See http://www.robotstxt.org/wc/norobots.html for documentation on how to use the robots.txt file
#
# To ban all spiders from the entire site uncomment the next two lines:
Sitemap: http://www.jurablogs.com/shared/jurablogs_com/sitemap.xml.gz

User-agent: Mediapartners-Google
Disallow:

User-agent: archive.org_bot
Disallow: /

User-agent: Exabot
Disallow: /

User-agent: psbot
Disallow: /

User-agent: Gaisbot
Disallow: /

User-agent: Twiceler
Disallow: /

User-agent: dotbot
Disallow: /

User-agent: cityreview
Disallow: /

User-agent: *
Disallow: /go/
Disallow: /go/link/
Disallow: /go/blog/
Disallow: /go/short/
Disallow: /gi/
Disallow: /my/settings/
