Sitemap: http://www.vpasp.com/sitemap.xml

User-agent: *

Disallow: /virtprog/vpaspforum/pop_profile.asp?mode=display&id=*
Disallow: /demo650/shopmerge.asp?id=2&idfield=contentid&table=content&template=tmp_content.htm
Disallow: /virtprog/vpaspforum/pop_profile.asp?mode=display&id=
Disallow: /demos/vpaspsites/sitedisplay.asp?page=
Disallow: /demos/vpaspsites/sitedisplay.asp?page=*
Disallow: /&whichpage=1
Disallow: /sales/epdownload550.asp
Disallow: /megamenutest.htm
Disallow: /helpnotes/shopexd.asp?
Disallow: /vsa
Disallow: /vsa*
Disallow: /data
Disallow: /data*
